"","date","temp_mean","HR_mean","total","cvd","resp","dow","pm10_mean.mean","X","holidays","year","males","females","RETI_65.79","RETII_.80","females_RETI_65.79","males_RETI_65.79","females_RETII_.80","males_RETII_.80","white","colored","males_white","males_colored","females_white","females_colored","RETI_65.79_white","RETII_.80_white","RETI_65.79_colored","RETII_.80_colored"
"868",2002-05-17,17.5,46,102,52,9,"Wednesday",94.259823997,NA,"0",2002,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"869",2002-05-18,20,46.125,114,47,16,"Thursday",95.198934917,NA,"0",2002,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"870",2002-05-19,18.6111111111111,91,104,51,4,"Friday",31.1861659,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"871",2002-05-20,17.7777777777778,40.25,122,53,15,"Saturday",NA,NA,"0",2002,55,67,18,6,10,8,3,3,104,15,47,7,57,8,16,5,2,1
"872",2002-05-21,18.0555555555556,40.5,119,55,15,"Sunday",42.9325524473,NA,"0",2002,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"873",2002-05-22,17.2222222222222,56.875,127,56,3,"Monday",61.677877655,NA,"0",2002,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"874",2002-05-23,20.5555555555556,35.75,120,51,8,"Tuesday",63.704985908,NA,"0",2002,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"875",2002-05-24,23.8888888888889,64.125,112,57,6,"Wednesday",NA,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"876",2002-05-25,19.7222222222222,87.875,116,53,13,"Thursday",28.648948681,NA,"0",2002,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"877",2002-05-26,16.6666666666667,46.5,102,42,11,"Friday",NA,NA,"0",2002,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"878",2002-05-27,13.3333333333333,52.25,110,45,7,"Saturday",29.510362175,NA,"0",2002,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"879",2002-05-28,13.8888888888889,41.5,116,57,7,"Sunday",29.80562949,NA,"0",2002,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"880",2002-05-29,19.7222222222222,73.375,88,41,7,"Monday",NA,NA,"0",2002,40,48,13,4,7,6,2,2,75,11,34,5,41,6,11,4,2,1
"881",2002-05-30,23.0555555555556,62.25,121,59,12,"Tuesday",20.21206338,35,"1",2002,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"882",2002-05-31,23.8888888888889,90.5,122,51,9,"Wednesday",NA,NA,"0",2002,55,67,18,6,10,8,3,3,104,15,47,7,57,8,16,5,2,1
"883",2002-06-01,20.2777777777778,91.625,112,44,13,"Thursday",23.080788836,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"884",2002-06-02,19.7222222222222,53.375,114,58,5,"Friday",NA,NA,"0",2002,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"885",2002-06-03,13.6111111111111,91.125,127,52,6,"Saturday",25.728449341,NA,"0",2002,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"886",2002-06-04,16.9444444444444,54.25,110,49,9,"Sunday",NA,NA,"0",2002,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"887",2002-06-05,18.8888888888889,49.375,110,42,7,"Monday",73.742544822,NA,"0",2002,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"888",2002-06-06,21.6666666666667,44.625,117,60,12,"Tuesday",NA,NA,"0",2002,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"889",2002-06-07,21.9444444444444,48.125,127,48,12,"Wednesday",83.660500036,NA,"0",2002,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"890",2002-06-08,22.7777777777778,58.25,111,54,6,"Thursday",NA,NA,"0",2002,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"891",2002-06-09,16.1111111111111,66.75,100,51,6,"Friday",35.72795207,NA,"0",2002,45,55,15,5,8,7,3,2,85,12,38,5,47,7,13,4,2,1
"892",2002-06-10,14.7222222222222,58.5,108,44,9,"Saturday",NA,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"893",2002-06-11,15.5555555555556,54.375,116,54,12,"Sunday",29.743671242,NA,"0",2002,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"894",2002-06-12,18.8888888888889,88.875,115,47,12,"Monday",37.7877979959,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"895",2002-06-13,19.1666666666667,77,102,46,8,"Tuesday",39.728257737,NA,"0",2002,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"896",2002-06-14,17.7777777777778,71.75,122,51,8,"Wednesday",NA,NA,"0",2002,55,67,18,6,10,8,3,3,104,15,47,7,57,8,16,5,2,1
"897",2002-06-15,12.5,89.875,94,41,8,"Thursday",24.561694206,NA,"0",2002,42,52,14,5,8,6,3,2,80,11,36,5,44,6,12,4,2,1
"898",2002-06-16,16.1111111111111,61.25,99,43,4,"Friday",29.702539192,NA,"0",2002,45,54,15,5,8,7,3,2,84,12,38,5,46,7,13,4,2,1
"899",2002-06-17,18.6111111111111,42.875,94,35,11,"Saturday",37.7061930382,NA,"0",2002,42,52,14,5,8,6,3,2,80,11,36,5,44,6,12,4,2,1
"900",2002-06-18,22.5,66,116,48,12,"Sunday",NA,NA,"0",2002,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"901",2002-06-19,21.6666666666667,79.875,114,48,4,"Monday",20.754360109,NA,"0",2002,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"902",2002-06-20,20.2777777777778,74.5,111,54,10,"Tuesday",22.73100909,NA,"0",2002,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"903",2002-06-21,20.5555555555556,56.125,121,51,6,"Wednesday",54.021582575,NA,"0",2002,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"904",2002-06-22,26.1111111111111,51.25,116,47,6,"Thursday",NA,NA,"0",2002,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"905",2002-06-23,26.1111111111111,69.625,98,47,8,"Friday",NA,NA,"0",2002,44,54,15,5,8,7,3,2,83,12,37,5,46,6,12,4,2,1
"906",2002-06-24,23.8888888888889,69.5,115,44,10,"Saturday",NA,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"907",2002-06-25,22.7777777777778,55.125,121,48,11,"Sunday",47.729428848,NA,"0",2002,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"908",2002-06-26,25.2777777777778,70.125,98,44,8,"Monday",83.729428848,NA,"0",2002,44,54,15,5,8,7,3,2,83,12,37,5,46,6,12,4,2,1
"909",2002-06-27,21.3888888888889,78.875,119,49,13,"Tuesday",48.11699101,NA,"0",2002,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"910",2002-06-28,18.0555555555556,62.375,96,49,10,"Wednesday",27.773701748,NA,"0",2002,43,53,14,5,8,6,3,2,82,12,37,5,45,6,12,4,2,1
"911",2002-06-29,16.1111111111111,61,104,52,5,"Thursday",22.762987459,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"912",2002-06-30,18.6111111111111,48,99,51,4,"Friday",NA,NA,"0",2002,45,54,15,5,8,7,3,2,84,12,38,5,46,7,13,4,2,1
"913",2002-07-01,22.5,45.125,117,58,16,"Saturday",NA,NA,"0",2002,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"914",2002-07-02,23.0555555555556,79.5,113,45,6,"Sunday",59.780213924,NA,"0",2002,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"915",2002-07-03,23.3333333333333,53.25,112,52,6,"Monday",53.514381578,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"916",2002-07-04,23.8888888888889,43.75,100,49,3,"Tuesday",NA,NA,"0",2002,45,55,15,5,8,7,3,2,85,12,38,5,47,7,13,4,2,1
"917",2002-07-05,24.1666666666667,60.625,125,64,5,"Wednesday",47.70978779,NA,"0",2002,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"918",2002-07-06,26.1111111111111,52.25,119,43,12,"Thursday",79.93602813,NA,"0",2002,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"919",2002-07-07,25.8333333333333,41.25,125,58,12,"Friday",50.839050723,NA,"0",2002,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"920",2002-07-08,23.8888888888889,60.125,112,47,6,"Saturday",44.7643316211,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"921",2002-07-09,28.3333333333333,52.125,97,46,5,"Sunday",55.001728738,36,"1",2002,44,53,15,5,8,7,3,2,82,12,37,5,45,6,12,4,2,1
"922",2002-07-10,30.2777777777778,54.375,126,52,8,"Monday",37.7979176043,NA,"0",2002,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"923",2002-07-11,24.4444444444444,83.375,112,62,8,"Tuesday",NA,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"924",2002-07-12,21.6666666666667,79,113,55,6,"Wednesday",NA,NA,"0",2002,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"925",2002-07-13,20.5555555555556,53.375,120,48,5,"Thursday",16.001909403,NA,"0",2002,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"926",2002-07-14,20,43.875,104,50,8,"Friday",7.010019081,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"927",2002-07-15,21.6666666666667,50.5,104,38,7,"Saturday",26.165419465,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"928",2002-07-16,22.5,43.5,106,46,9,"Sunday",27.020141187,NA,"0",2002,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"929",2002-07-17,21.6666666666667,49.125,109,56,7,"Monday",63.040753407,NA,"0",2002,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"930",2002-07-18,21.1111111111111,90.25,118,49,5,"Tuesday",51.029686714,NA,"0",2002,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"931",2002-07-19,19.7222222222222,91.875,100,47,8,"Wednesday",41.909095969,NA,"0",2002,45,55,15,5,8,7,3,2,85,12,38,5,47,7,13,4,2,1
"932",2002-07-20,19.7222222222222,85.5,101,49,7,"Thursday",20.92627309,NA,"0",2002,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"933",2002-07-21,20.5555555555556,86.75,110,52,7,"Friday",37.3779859626,NA,"0",2002,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"934",2002-07-22,23.3333333333333,67.375,109,51,4,"Saturday",33.968084103,NA,"0",2002,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"935",2002-07-23,23.6111111111111,64.375,121,58,7,"Sunday",48.961642925,NA,"0",2002,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"936",2002-07-24,25,67.625,117,45,6,"Monday",72.126138609,NA,"0",2002,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"937",2002-07-25,25.8333333333333,88.375,109,47,5,"Tuesday",50.036742704,NA,"0",2002,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"938",2002-07-26,26.3888888888889,76.375,117,51,10,"Wednesday",56.109580366,NA,"0",2002,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"939",2002-07-27,28.0555555555556,69.75,109,56,13,"Thursday",39.5107850057,NA,"0",2002,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"940",2002-07-28,19.7222222222222,75.5,101,50,7,"Friday",30.397807913,NA,"0",2002,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"941",2002-07-29,20.5555555555556,87.25,98,43,4,"Saturday",24.050810888,NA,"0",2002,44,54,15,5,8,7,3,2,83,12,37,5,46,6,12,4,2,1
"942",2002-07-30,21.9444444444444,74.75,107,47,6,"Sunday",41.0744796493,NA,"0",2002,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"943",2002-07-31,21.6666666666667,69.125,104,51,6,"Monday",64.133172183,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"944",2002-08-01,22.5,61.625,122,59,1,"Tuesday",43.1681126778,NA,"0",2002,55,67,18,6,10,8,3,3,104,15,47,7,57,8,16,5,2,1
"945",2002-08-02,23.3333333333333,68.75,104,48,10,"Wednesday",70.438273811,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"946",2002-08-03,26.3888888888889,70.875,110,42,11,"Thursday",47.117980792,NA,"0",2002,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"947",2002-08-04,27.2222222222222,78.375,115,47,4,"Friday",59.17037356,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"948",2002-08-05,25,66.375,117,55,10,"Saturday",33.36819063,NA,"0",2002,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
"949",2002-08-06,17.2222222222222,72.5,99,36,11,"Sunday",20.266257355,NA,"0",2002,45,54,15,5,8,7,3,2,84,12,38,5,46,7,13,4,2,1
"950",2002-08-07,16.6666666666667,66.5,126,61,8,"Monday",24.31255068,NA,"0",2002,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"951",2002-08-08,18.3333333333333,70.125,113,59,4,"Tuesday",45.7277865841,NA,"0",2002,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"952",2002-08-09,21.3888888888889,68.875,98,37,14,"Wednesday",42.343852226,NA,"0",2002,44,54,15,5,8,7,3,2,83,12,37,5,46,6,12,4,2,1
"953",2002-08-10,22.5,77.625,115,51,11,"Thursday",45.539590663,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"954",2002-08-11,21.3888888888889,76.5,114,51,7,"Friday",91.519803811,NA,"0",2002,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"955",2002-08-12,22.2222222222222,79.875,103,43,8,"Saturday",81.403991954,NA,"0",2002,46,57,15,5,8,7,3,2,88,12,39,6,48,7,13,4,2,1
"956",2002-08-13,21.6666666666667,72.125,80,38,7,"Sunday",48.39388134,NA,"0",2002,36,44,12,4,7,5,2,2,68,10,31,4,37,5,10,3,1,0
"957",2002-08-14,21.6666666666667,87.75,108,46,8,"Monday",55.384617799,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"958",2002-08-15,20.5555555555556,78.75,103,47,6,"Tuesday",13.369755965,NA,"0",2002,46,57,15,5,8,7,3,2,88,12,39,6,48,7,13,4,2,1
"959",2002-08-16,19.1666666666667,69,105,43,6,"Wednesday",NA,NA,"0",2002,47,58,16,5,9,7,3,2,89,13,40,6,49,7,13,4,2,1
"960",2002-08-17,18.8888888888889,66.375,128,59,10,"Thursday",29.525381512,NA,"0",2002,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"961",2002-08-18,19.1666666666667,61.375,97,49,5,"Friday",NA,NA,"0",2002,44,53,15,5,8,7,3,2,82,12,37,5,45,6,12,4,2,1
"962",2002-08-19,19.7222222222222,62.5,123,50,7,"Saturday",NA,NA,"0",2002,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"963",2002-08-20,23.6111111111111,66.75,118,60,13,"Sunday",34.36333748,NA,"0",2002,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"964",2002-08-21,23.3333333333333,65.625,83,41,8,"Monday",54.259067312,NA,"0",2002,37,46,12,4,7,6,2,2,71,10,32,4,39,5,11,4,1,0
"965",2002-08-22,25.2777777777778,79,128,47,8,"Tuesday",26.264356098,NA,"0",2002,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"966",2002-08-23,21.3888888888889,81.875,101,47,5,"Wednesday",20.310882915,NA,"0",2002,45,56,15,5,8,7,3,2,86,12,39,5,47,7,13,4,2,1
"967",2002-08-24,21.1111111111111,75.125,112,51,6,"Thursday",34.301940103,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"968",2002-08-25,21.1111111111111,68.875,106,49,3,"Friday",NA,NA,"0",2002,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"969",2002-08-26,21.9444444444444,80.25,96,39,10,"Saturday",46.1191068521,NA,"0",2002,43,53,14,5,8,6,3,2,82,12,37,5,45,6,12,4,2,1
"970",2002-08-27,23.6111111111111,82.625,108,51,12,"Sunday",45.3547386599,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"971",2002-08-28,25,85.25,111,53,13,"Monday",44.3978157088,NA,"0",2002,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"972",2002-08-29,23.8888888888889,64.625,115,52,3,"Tuesday",45.5213064827,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"973",2002-08-30,21.3888888888889,61.75,109,47,11,"Wednesday",49.519323351,NA,"0",2002,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"974",2002-08-31,22.5,89.875,104,47,8,"Thursday",30.518362296,NA,"0",2002,47,57,16,5,9,7,3,2,88,12,40,6,49,7,13,4,2,1
"975",2002-09-01,21.6666666666667,78.5,107,42,6,"Friday",18.54847727,NA,"0",2002,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"976",2002-09-02,17.7777777777778,63.25,88,37,8,"Saturday",10.500928581,NA,"0",2002,40,48,13,4,7,6,2,2,75,11,34,5,41,6,11,4,2,1
"977",2002-09-03,18.3333333333333,60.375,113,48,7,"Sunday",18.459132398,NA,"0",2002,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"978",2002-09-04,20,85.25,102,46,10,"Monday",32.760286779,NA,"0",2002,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"979",2002-09-05,21.1111111111111,75.625,109,39,2,"Tuesday",NA,NA,"0",2002,49,60,16,5,9,7,3,2,93,13,42,6,51,7,14,5,2,1
"980",2002-09-06,21.9444444444444,94.125,108,40,11,"Wednesday",38.5723046823,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"981",2002-09-07,23.6111111111111,86,107,49,10,"Thursday",53.688090367,37,"1",2002,48,59,16,5,9,7,3,2,91,13,41,6,50,7,14,5,2,1
"982",2002-09-08,24.7222222222222,88.875,108,51,5,"Friday",33.822653038,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"983",2002-09-09,20,92.75,121,46,18,"Saturday",NA,NA,"0",2002,54,67,18,6,10,8,3,3,103,15,46,7,57,8,15,5,2,1
"984",2002-09-10,17.2222222222222,66.25,99,43,14,"Sunday",18.650822454,NA,"0",2002,45,54,15,5,8,7,3,2,84,12,38,5,46,7,13,4,2,1
"985",2002-09-11,18.3333333333333,69,108,46,5,"Monday",35.500128705,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"986",2002-09-12,15.8333333333333,59.375,99,37,7,"Tuesday",27.546522254,NA,"0",2002,45,54,15,5,8,7,3,2,84,12,38,5,46,7,13,4,2,1
"987",2002-09-13,13.6111111111111,74.375,113,49,8,"Wednesday",10.516457248,NA,"0",2002,51,62,17,6,9,8,3,3,96,14,43,6,53,7,14,5,2,1
"988",2002-09-14,14.4444444444444,78.125,102,45,6,"Thursday",10.642168987,NA,"0",2002,46,56,15,5,8,7,3,2,87,12,39,6,48,7,13,4,2,1
"989",2002-09-15,14.1666666666667,74,110,42,6,"Friday",NA,NA,"0",2002,50,61,16,6,9,7,3,2,94,13,42,6,51,7,14,5,2,1
"990",2002-09-16,15.2777777777778,73.875,125,55,7,"Saturday",28.789482792,NA,"0",2002,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"991",2002-09-17,17.5,71.25,115,45,8,"Sunday",46.598988259,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"992",2002-09-18,18.3333333333333,69.5,130,56,10,"Monday",44.6258071238,NA,"0",2002,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"993",2002-09-19,18.3333333333333,68.25,137,66,9,"Tuesday",44.9479289347,NA,"0",2002,62,75,21,7,11,9,4,3,116,16,52,7,64,9,17,6,2,1
"994",2002-09-20,18.6111111111111,69.375,90,31,10,"Wednesday",56.543847679,NA,"0",2002,40,50,14,4,7,6,2,2,76,11,34,5,42,6,11,4,2,1
"995",2002-09-21,18.8888888888889,68,126,56,13,"Thursday",71.499734814,NA,"0",2002,57,69,19,6,10,9,3,3,107,15,48,7,59,8,16,5,2,1
"996",2002-09-22,16.3888888888889,58,120,57,13,"Friday",110.323818814,NA,"0",2002,54,66,18,6,10,8,3,3,102,14,46,6,56,8,15,5,2,1
"997",2002-09-23,7.5,60.625,130,59,12,"Saturday",30.256784916,NA,"0",2002,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"998",2002-09-24,8.88888888888889,57.125,119,57,9,"Sunday",19.298375958,NA,"0",2002,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"999",2002-09-25,12.5,53.875,118,55,19,"Monday",44.4908360147,NA,"0",2002,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"1000",2002-09-26,10.8333333333333,67.375,119,49,9,"Tuesday",19.222895896,NA,"0",2002,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"1001",2002-09-27,10.5555555555556,56.25,112,43,10,"Wednesday",36.1391923454,NA,"0",2002,50,62,17,6,9,8,3,3,95,13,43,6,52,7,14,5,2,1
"1002",2002-09-28,14.4444444444444,40.5,114,55,3,"Thursday",48.26963788,NA,"0",2002,51,63,17,6,9,8,3,3,97,14,44,6,53,8,15,5,2,1
"1003",2002-09-29,15.2777777777778,72.625,108,40,11,"Friday",32.288745928,NA,"0",2002,49,59,16,5,9,7,3,2,92,13,41,6,50,7,14,5,2,1
"1004",2002-09-30,15.5555555555556,69.5,123,55,11,"Saturday",40.2305836027,NA,"0",2002,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"1005",2002-10-01,18.6111111111111,75.625,131,50,5,"Sunday",49.397096989,NA,"0",2002,59,72,20,7,11,9,4,3,111,16,50,7,61,9,17,6,2,1
"1006",2002-10-02,13.6111111111111,60.125,106,45,5,"Monday",54.638197426,NA,"0",2002,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"1007",2002-10-03,6.94444444444444,48.875,103,52,12,"Tuesday",41.6555225391,NA,"0",2002,46,57,15,5,8,7,3,2,88,12,39,6,48,7,13,4,2,1
"1008",2002-10-04,8.33333333333333,48,123,66,7,"Wednesday",64.298357244,NA,"0",2002,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"1009",2002-10-05,11.3888888888889,91.125,130,53,13,"Thursday",46.0015988758,NA,"0",2002,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"1010",2002-10-06,10.8333333333333,55.75,106,38,9,"Friday",29.809856193,NA,"0",2002,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"1011",2002-10-07,7.22222222222222,64.125,127,52,7,"Saturday",21.322835993,NA,"0",2002,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"1012",2002-10-08,6.66666666666667,67,116,52,9,"Sunday",22.551241775,NA,"0",2002,52,64,17,6,10,8,3,3,99,14,44,6,54,8,15,5,2,1
"1013",2002-10-09,7.5,50.625,131,52,6,"Monday",NA,NA,"0",2002,59,72,20,7,11,9,4,3,111,16,50,7,61,9,17,6,2,1
"1014",2002-10-10,10.5555555555556,73.125,128,65,10,"Tuesday",43.9486427061,NA,"0",2002,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"1015",2002-10-11,15,32.5,115,47,9,"Wednesday",52.087793309,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"1016",2002-10-12,16.1111111111111,72,115,57,11,"Thursday",58.104768543,38,"1",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"1017",2002-10-13,16.9444444444444,53,115,49,9,"Friday",88.196919469,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"1018",2002-10-14,20.8333333333333,69.625,125,58,8,"Saturday",62.166875389,NA,"0",2002,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"1019",2002-10-15,21.3888888888889,51.625,118,53,9,"Sunday",47.667912987,NA,"0",2002,53,65,18,6,10,8,3,3,100,14,45,6,55,8,15,5,2,1
"1020",2002-10-16,14.7222222222222,83.75,132,66,7,"Monday",27.125438243,NA,"0",2002,59,73,20,7,11,9,4,3,112,16,50,7,62,9,17,6,2,1
"1021",2002-10-17,6.11111111111111,69.25,106,48,11,"Tuesday",9.531406685,NA,"0",2002,48,58,16,5,9,7,3,2,90,13,41,6,50,7,14,5,2,1
"1022",2002-10-18,2.22222222222222,73.625,115,58,9,"Wednesday",13.569518462,NA,"0",2002,52,63,17,6,9,8,3,3,98,14,44,6,54,8,15,5,2,1
"1023",2002-10-19,2.22222222222222,96.625,111,54,6,"Thursday",6.249405296,NA,"0",2002,50,61,17,6,9,7,3,2,94,13,42,6,52,7,14,5,2,1
"1024",2002-10-20,2.77777777777778,81.625,105,43,8,"Friday",19.178196018,NA,"0",2002,47,58,16,5,9,7,3,2,89,13,40,6,49,7,13,4,2,1
"1025",2002-10-21,7.77777777777778,77.5,123,60,10,"Saturday",29.20212241,NA,"0",2002,55,68,18,6,10,8,3,3,105,15,47,7,58,8,16,5,2,1
"1026",2002-10-22,8.88888888888889,58.25,125,56,11,"Sunday",20.583017584,NA,"0",2002,56,69,19,6,10,8,3,3,106,15,48,7,58,8,16,5,2,1
"1027",2002-10-23,14.7222222222222,80.75,130,62,8,"Monday",35.393538268,NA,"0",2002,58,72,20,6,11,9,4,3,110,16,50,7,61,9,17,6,2,1
"1028",2002-10-24,17.7777777777778,75.75,127,53,6,"Tuesday",47.792623003,NA,"0",2002,57,70,19,6,10,9,3,3,108,15,49,7,59,8,16,5,2,1
"1029",2002-10-25,18.6111111111111,69.875,128,60,7,"Wednesday",50.524219813,NA,"0",2002,58,70,19,6,11,9,4,3,109,15,49,7,60,8,16,5,2,1
"1030",2002-10-26,16.9444444444444,62,119,61,4,"Thursday",64.167052717,NA,"0",2002,54,65,18,6,10,8,3,3,101,14,46,6,56,8,15,5,2,1
"1031",2002-10-27,16.9444444444444,48.875,117,53,6,"Friday",66.682723815,NA,"0",2002,53,64,18,6,10,8,3,3,99,14,45,6,55,8,15,5,2,1
